Name,Ticker,Price,PercentChange,MarketCap,Sector
Reliance Industries,RELIANCE,2925.40,1.84,19800000000000,Energy
Tata Consultancy Services,TCS,4198.75,-0.62,15200000000000,IT Services
HDFC Bank,HDFCBANK,1682.10,0.95,12700000000000,Banking
ICICI Bank,ICICIBANK,1215.55,1.36,8520000000000,Banking
Infosys,INFY,1764.20,-1.12,7310000000000,IT Services
Bharti Airtel,BHARTIARTL,1421.80,2.05,8010000000000,Telecom
ITC,ITC,447.65,0.42,5580000000000,FMCG
Larsen & Toubro,LT,3651.30,-0.48,5030000000000,Engineering
State Bank of India,SBIN,781.95,1.11,6950000000000,Banking
Hindustan Unilever,HINDUNILVR,2468.40,-0.27,5790000000000,FMCG
